,2022-12-31
OrdinarySharesNumber,252488436.0
ShareIssued,252488436.0
NetDebt,108706826.0
TotalDebt,143707660.0
TangibleBookValue,-140643229.0
InvestedCapital,-2055162.0
WorkingCapital,-99434115.0
NetTangibleAssets,-140643229.0
CapitalLeaseObligations,32188593.0
CommonStockEquity,-113574229.0
TotalCapitalization,-10632474.0
TotalEquityGrossMinorityInterest,-110672314.0
MinorityInterest,2901915.0
StockholdersEquity,-113574229.0
OtherEquityInterest,1709844.0
RetainedEarnings,-358801715.0
AdditionalPaidInCapital,15952820.0
CapitalStock,227564822.0
CommonStock,227564822.0
TotalLiabilitiesNetMinorityInterest,276734293.0
TotalNonCurrentLiabilitiesNetMinorityInterest,147505990.0
DerivativeProductLiabilities,977.0
TradeandOtherPayablesNonCurrent,1080227.0
NonCurrentDeferredLiabilities,8379705.0
NonCurrentDeferredTaxesLiabilities,8379705.0
LongTermDebtAndCapitalLeaseObligation,133145081.0
LongTermCapitalLeaseObligation,30203326.0
LongTermDebt,102941755.0
LongTermProvisions,4900000.0
CurrentLiabilities,129228303.0
OtherCurrentLiabilities,2872796.0
CurrentDebtAndCapitalLeaseObligation,10562579.0
CurrentCapitalLeaseObligation,1985267.0
CurrentDebt,8577312.0
OtherCurrentBorrowings,8577312.0
CurrentProvisions,16252172.0
PayablesAndAccruedExpenses,99540756.0
CurrentAccruedExpenses,18368412.0
Payables,81172344.0
TotalTaxPayable,60802749.0
IncomeTaxPayable,30411289.0
AccountsPayable,20369595.0
TotalAssets,166061979.0
TotalNonCurrentAssets,136267791.0
OtherNonCurrentAssets,1246311.0
NonCurrentAccountsReceivable,723162.0
InvestmentsAndAdvances,0.0
InvestmentinFinancialAssets,0.0
FinancialAssetsDesignatedasFairValueThroughProfitorLossTotal,0.0
GoodwillAndOtherIntangibleAssets,27069000.0
OtherIntangibleAssets,27069000.0
Goodwill,0.0
NetPPE,107229318.0
AccumulatedDepreciation,-17458463.0
GrossPPE,124687781.0
Leases,10973113.0
ConstructionInProgress,822570.0
OtherProperties,11032673.0
MachineryFurnitureEquipment,7376290.0
BuildingsAndImprovements,74320417.0
LandAndImprovements,20162718.0
Properties,0.0
CurrentAssets,29794188.0
HedgingAssetsCurrent,1461440.0
AssetsHeldForSaleCurrent,2183880.0
RestrictedCash,606871.0
PrepaidAssets,4423361.0
Inventory,10226237.0
OtherInventories,441144.0
FinishedGoods,4712825.0
WorkInProcess,4161307.0
RawMaterials,910961.0
Receivables,8080158.0
ReceivablesAdjustmentsAllowances,-2908583.0
TaxesReceivable,10688.0
NotesReceivable,2337987.0
AccountsReceivable,8640066.0
CashCashEquivalentsAndShortTermInvestments,2812241.0
CashAndCashEquivalents,2812241.0
CashFinancial,2812241.0
