,2023-06-30,2023-03-31,2022-12-31
OrdinarySharesNumber,133603162.0,130974872.0,124785562.0
ShareIssued,133603162.0,130974872.0,124785562.0
NetDebt,834478000.0,801072000.0,756259000.0
TotalDebt,876677000.0,874815000.0,865461000.0
TangibleBookValue,74841000.0,87532000.0,100941000.0
InvestedCapital,949937000.0,958753000.0,960777000.0
WorkingCapital,100766000.0,139346000.0,180619000.0
NetTangibleAssets,74841000.0,87532000.0,100941000.0
CapitalLeaseObligations,13265000.0,14618000.0,16082000.0
CommonStockEquity,86525000.0,98556000.0,111398000.0
TotalCapitalization,949937000.0,958753000.0,960777000.0
TotalEquityGrossMinorityInterest,-490111000.0,-441873000.0,-385198000.0
MinorityInterest,-576636000.0,-540429000.0,-496596000.0
StockholdersEquity,86525000.0,98556000.0,111398000.0
OtherEquityInterest,17620000.0,17620000.0,17620000.0
GainsLossesNotAffectingRetainedEarnings,439000.0,529000.0,430000.0
OtherEquityAdjustments,439000.0,529000.0,430000.0
RetainedEarnings,-420918000.0,-403144000.0,-381725000.0
AdditionalPaidInCapital,489344000.0,483511000.0,475034000.0
CapitalStock,40000.0,40000.0,39000.0
CommonStock,40000.0,40000.0,39000.0
TotalLiabilitiesNetMinorityInterest,988823000.0,987479000.0,982261000.0
TotalNonCurrentLiabilitiesNetMinorityInterest,877096000.0,875236000.0,865461000.0
OtherNonCurrentLiabilities,419000.0,421000.0,
LongTermDebtAndCapitalLeaseObligation,876677000.0,874815000.0,865461000.0
LongTermCapitalLeaseObligation,13265000.0,14618000.0,16082000.0
LongTermDebt,863412000.0,860197000.0,849379000.0
CurrentLiabilities,111727000.0,112243000.0,116800000.0
OtherCurrentLiabilities,6608000.0,6711000.0,6704000.0
CurrentDeferredLiabilities,14909000.0,16837000.0,13646000.0
CurrentDeferredRevenue,14909000.0,16837000.0,13646000.0
CurrentCapitalLeaseObligation,,,0.0
PayablesAndAccruedExpenses,90210000.0,88695000.0,96450000.0
CurrentAccruedExpenses,46664000.0,46475000.0,58759000.0
Payables,43546000.0,42220000.0,37691000.0
TotalTaxPayable,7860000.0,7340000.0,7178000.0
AccountsPayable,35686000.0,34880000.0,30513000.0
TotalAssets,498712000.0,545606000.0,597063000.0
TotalNonCurrentAssets,286219000.0,294017000.0,299644000.0
OtherNonCurrentAssets,29058000.0,27129000.0,25278000.0
NonCurrentPrepaidAssets,1808000.0,1619000.0,1854000.0
NonCurrentAccountsReceivable,48646000.0,47809000.0,45168000.0
InvestmentsAndAdvances,6636000.0,5871000.0,5659000.0
OtherInvestments,6636000.0,5871000.0,5659000.0
GoodwillAndOtherIntangibleAssets,11684000.0,11024000.0,10457000.0
OtherIntangibleAssets,11684000.0,11024000.0,10457000.0
NetPPE,188387000.0,200565000.0,211228000.0
AccumulatedDepreciation,-227374000.0,-213466000.0,-199518000.0
GrossPPE,415761000.0,414031000.0,410746000.0
Leases,30900000.0,31139000.0,33831000.0
ConstructionInProgress,7568000.0,8194000.0,8577000.0
OtherProperties,109343000.0,114814000.0,117175000.0
MachineryFurnitureEquipment,267950000.0,259884000.0,251163000.0
Properties,0.0,0.0,0.0
CurrentAssets,212493000.0,251589000.0,297419000.0
OtherCurrentAssets,1482000.0,518000.0,2005000.0
PrepaidAssets,16389000.0,16207000.0,14825000.0
Inventory,35557000.0,40031000.0,44387000.0
FinishedGoods,24098000.0,26349000.0,27624000.0
RawMaterials,11459000.0,13682000.0,16763000.0
Receivables,130131000.0,135708000.0,143082000.0
AccountsReceivable,130131000.0,135708000.0,143082000.0
AllowanceForDoubtfulAccountsReceivable,-40166000.0,-41590000.0,-36786000.0
GrossAccountsReceivable,170297000.0,177298000.0,179868000.0
CashCashEquivalentsAndShortTermInvestments,28934000.0,59125000.0,93120000.0
CashAndCashEquivalents,28934000.0,59125000.0,93120000.0
CashFinancial,28934000.0,59125000.0,93120000.0
