,2023-09-30,2023-06-30,2022-12-31
OrdinarySharesNumber,17329615.0,17329615.0,17329615.0
ShareIssued,17329615.0,17329615.0,17329615.0
TotalDebt,244219.0,229012.0,283217.0
TangibleBookValue,-164466.0,66717.0,1130739.0
InvestedCapital,-164466.0,66717.0,1130739.0
WorkingCapital,-366971.0,-112264.0,963050.0
NetTangibleAssets,-163895.0,67288.0,1131310.0
CapitalLeaseObligations,244219.0,229012.0,283217.0
CommonStockEquity,-164466.0,66717.0,1130739.0
PreferredStockEquity,571.0,571.0,571.0
TotalCapitalization,-163895.0,67288.0,1131310.0
TotalEquityGrossMinorityInterest,-163895.0,67288.0,1131310.0
StockholdersEquity,-163895.0,67288.0,1131310.0
GainsLossesNotAffectingRetainedEarnings,873.0,486.0,111.0
OtherEquityAdjustments,873.0,486.0,111.0
RetainedEarnings,-5865974.0,-5082927.0,-2722373.0
AdditionalPaidInCapital,5699623.0,5148159.0,3852044.0
CapitalStock,1583.0,1570.0,1528.0
CommonStock,1012.0,999.0,957.0
PreferredStock,571.0,571.0,571.0
TotalLiabilitiesNetMinorityInterest,1746884.0,1676666.0,760873.0
TotalNonCurrentLiabilitiesNetMinorityInterest,103309.0,113897.0,172601.0
LongTermDebtAndCapitalLeaseObligation,103309.0,113897.0,172601.0
LongTermCapitalLeaseObligation,103309.0,113897.0,172601.0
CurrentLiabilities,1643575.0,1562769.0,588272.0
OtherCurrentLiabilities,519509.0,527701.0,68455.0
CurrentDeferredLiabilities,54853.0,85366.0,10172.0
CurrentDeferredRevenue,54853.0,85366.0,10172.0
CurrentDebtAndCapitalLeaseObligation,140910.0,115115.0,110616.0
CurrentCapitalLeaseObligation,140910.0,115115.0,110616.0
PayablesAndAccruedExpenses,928303.0,834587.0,399029.0
CurrentAccruedExpenses,132574.0,94005.0,33864.0
Payables,795729.0,740582.0,365165.0
DuetoRelatedPartiesCurrent,222675.0,202982.0,142704.0
AccountsPayable,573054.0,537600.0,222461.0
TotalAssets,1582989.0,1743954.0,1892183.0
TotalNonCurrentAssets,306385.0,293449.0,340861.0
NonCurrentPrepaidAssets,10773.0,10773.0,10773.0
NetPPE,295612.0,282676.0,330088.0
AccumulatedDepreciation,-16835.0,-13944.0,-8105.0
GrossPPE,312447.0,296620.0,338193.0
OtherProperties,292797.0,276900.0,327069.0
MachineryFurnitureEquipment,19650.0,19720.0,11124.0
CurrentAssets,1276604.0,1450505.0,1551322.0
PrepaidAssets,292058.0,336940.0,153422.0
Inventory,499309.0,477863.0,230145.0
FinishedGoods,98900.0,131499.0,32028.0
WorkInProcess,143166.0,96013.0,116984.0
RawMaterials,257243.0,250351.0,81133.0
Receivables,8382.0,34437.0,12854.0
TaxesReceivable,2690.0,3258.0,8674.0
AccountsReceivable,5692.0,31179.0,4180.0
CashCashEquivalentsAndShortTermInvestments,476855.0,601265.0,1154901.0
CashAndCashEquivalents,476855.0,601265.0,1154901.0
CashFinancial,476855.0,601265.0,1154901.0
