,2023-06-30,2022-12-31
OrdinarySharesNumber,11445000.0,11150000.0
ShareIssued,11445000.0,11150000.0
TotalDebt,155523.0,329326.0
TangibleBookValue,3672086.0,-131213.0
InvestedCapital,4691912.0,-109297.0
WorkingCapital,3989458.0,-188481.0
NetTangibleAssets,3672086.0,-131213.0
CapitalLeaseObligations,4697.0,307410.0
CommonStockEquity,4541086.0,-131213.0
TotalCapitalization,4556799.0,-115500.0
TotalEquityGrossMinorityInterest,4619852.0,-131213.0
MinorityInterest,78766.0,
StockholdersEquity,4541086.0,-131213.0
OtherEquityInterest,-935.0,-935.0
GainsLossesNotAffectingRetainedEarnings,7513430.0,1329619.0
OtherEquityAdjustments,7513430.0,1329619.0
RetainedEarnings,-3024789.0,-1506191.0
CapitalStock,53380.0,46294.0
CommonStock,53380.0,46294.0
TotalLiabilitiesNetMinorityInterest,1163858.0,1256312.0
TotalNonCurrentLiabilitiesNetMinorityInterest,377034.0,242486.0
OtherNonCurrentLiabilities,167000.0,
DerivativeProductLiabilities,194321.0,
LongTermDebtAndCapitalLeaseObligation,15713.0,242486.0
LongTermCapitalLeaseObligation,0.0,226773.0
LongTermDebt,15713.0,15713.0
CurrentLiabilities,786824.0,1013826.0
CurrentDeferredLiabilities,224248.0,224248.0
CurrentDeferredRevenue,224248.0,224248.0
CurrentDebtAndCapitalLeaseObligation,139810.0,86840.0
CurrentCapitalLeaseObligation,4697.0,80637.0
CurrentDebt,135113.0,6203.0
OtherCurrentBorrowings,135113.0,6203.0
PayablesAndAccruedExpenses,422766.0,702738.0
Payables,422766.0,702738.0
OtherPayable,,512698.0
DuetoRelatedPartiesCurrent,,7236.0
TotalTaxPayable,77792.0,52480.0
IncomeTaxPayable,77792.0,52480.0
AccountsPayable,344974.0,130324.0
TotalAssets,5783710.0,1125099.0
TotalNonCurrentAssets,1007428.0,299754.0
InvestmentsAndAdvances,123670.0,
InvestmentinFinancialAssets,123670.0,
FinancialAssetsDesignatedasFairValueThroughProfitorLossTotal,123670.0,
GoodwillAndOtherIntangibleAssets,869000.0,
OtherIntangibleAssets,639000.0,
Goodwill,230000.0,
NetPPE,14758.0,299754.0
AccumulatedDepreciation,-14149.0,-170694.0
GrossPPE,28907.0,470448.0
Leases,7200.0,7200.0
MachineryFurnitureEquipment,21707.0,121657.0
BuildingsAndImprovements,0.0,341591.0
Properties,0.0,0.0
CurrentAssets,4776282.0,825345.0
CurrentDeferredAssets,0.0,262684.0
PrepaidAssets,59268.0,178771.0
Receivables,97953.0,36661.0
OtherReceivables,64227.0,592.0
DuefromRelatedPartiesCurrent,,4409.0
AccountsReceivable,33726.0,31660.0
CashCashEquivalentsAndShortTermInvestments,4619061.0,347229.0
CashAndCashEquivalents,4619061.0,347229.0
CashFinancial,4619061.0,347229.0
